0,Name,Address,Latitude,Longitude
38,nan,"3222 Loma Riviera Cir, San Diego",32.755257,-117.224678
39,Palisade,"8800 Lombard Pl, San Diego",32.867227,-117.211679
40,4131 Maryland Street,"4131 Maryland St, San Diego",32.75251,-117.150619
41,Blend - SD,"5585 Mildred St, San Diego",32.76809329447556,-117.1926254918063
42,Mara Pacific Beach,"4275 Mission Bay Dr, San Diego",32.800686,-117.212727
43,nan,"5255 Mount Etna Dr, San Diego",32.820367,-117.183503
44,Arrive Mission Valley,"5395 Napa St, San Diego",32.764583,-117.196047
45,Derby Terrace,"14103-14163 Old El Camino Real, San Diego",32.971693,-117.23165
46,nan,"1329-1337 Oliver Ave, San Diego",32.79373,-117.244071
47,Mariner's Cove Apartments,"4392 W Point Loma Blvd, San Diego",32.752331848235414,-117.23310977149171
48,nan,"4055-4083 Pulitzer Pl, San Diego",32.865959116688295,-117.21701847315403
49,Torrey Vale Apartments,"6525 Rancho Del Sol Way, San Diego",32.96366855,-117.17889348793254
50,Villa Andalucia,"6591 Rancho del Sol Way, San Diego",32.96520210603345,-117.17763918360234
51,nan,"3333 Reynard Way, San Diego",32.7399831,-117.1689061
52,nan,"5982 Riley St, San Diego",32.768205,-117.186011
53,Stylus & Siena,"8310 Rio San Diego Dr, San Diego",32.774671,-117.146515
54,MÖDE,"635 Robinson Ave, San Diego",32.746522,-117.15871
55,Santa Cruz Apartments,"4819 Santa Cruz Ave, San Diego",32.741369,-117.251123
56,Long Acres at Seabreeze Farms,"12759 Seabreeze Farms Dr, San Diego",32.95056487799943,-117.20379925148289
57,Park Terramar,"13481 Silver Ivy Ln, San Diego",32.964482061224494,-117.14745095918367
58,West Mission Hills Six,"1026-1042 1/2 W Spruce St, San Diego",,
59,nan,"6625-6627 Tait St, San Diego",32.781475,-117.165283
60,Torrey Highland Apartments,"13370 Torrey Meadows Dr, San Diego",32.963542375461635,-117.15156112985157
61,Villa Glen Apartments,"6984-6996 Torrey Santa Fe Rd, San Diego",32.959712,-117.168532
62,nan,"4142 Udall St, San Diego",32.742506236155485,-117.23460705992622
63,Ulric Street Apartments II,"2601-2641 Ulric St, San Diego",32.7710808,-117.1630229
64,Amanecer Apartments,"2645-2685 Ulric St, San Diego",32.791342,-117.172438
65,Versa,"2355 Via Alta, San Diego",32.7758364,-117.1502747689079
66,University Canyon West,"2052-2098 Via Las Cumbres, San Diego",32.78004593777388,-117.17921529977122
67,nan,"2055-2095 Via Las Cumbres, San Diego",32.78035599695974,-117.17888978050956
68,Vista Terraza Apartment Homes,"7735 Via Solare, San Diego",32.9615279,-117.155549798175
69,Luna at Pacific Highlands Ranch,"6025 Village Way, San Diego",32.9620779,-117.1889062
70,Nimitz Crossing,"3909 Voltaire St, San Diego",32.741437149999996,-117.23151211070578
71,Sasan Apartments,"901 W Washington St, San Diego",32.749758,-117.17152
72,The Crossings,"13525 Zinnia Hills Pl, San Diego",32.965928,-117.18501
